Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
NOW,ServiceNow,Information Technology,Systems Software,108.07,208.94,100.58,104.98,105.73,106.54,128.3,171.66,-0.2,7.33,115.99,97.09
SHW,Sherwin-Williams,Materials,Specialty Chemicals,361.76,374.36,311.42,361.7,362.93,362.84,348.83,346.4,0.2,2.86,372.11,353.59
SPG,Simon Property Group,Real Estate,Retail REITs,203.68,203.68,135.26,201.34,200.66,197.5,190.17,174.65,0.2,0.97,205.66,189.35
SWKS,Skyworks Solutions,Information Technology,Semiconductors,59.2,81.06,47.14,59.52,59.95,59.56,60.3,68.15,0.2,7.52,63.65,55.47
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,115.35,116.0,91.63,111.66,110.27,108.69,103.08,103.73,0.3,-0.36,114.93,102.43
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,46.95,51.84,32.5,46.32,48.39,46.38,42.76,42.06,0.2,13.55,53.31,39.46
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,385.14,387.04,284.61,385.65,383.65,377.93,364.58,334.68,0.0,1.89,392.42,363.45
SOLV,Solventum,Health Care,Health Care Technology,74.31,86.14,63.01,74.48,74.31,76.02,78.75,75.42,0.0,8.49,80.62,71.41
SO,Southern Company,Utilities,Electric Utilities,97.62,98.14,82.21,96.18,94.75,92.15,88.93,90.0,-0.1,0.58,98.19,86.11
LUV,Southwest Airlines,Industrials,Passenger Airlines,49.03,54.8,23.67,50.28,51.57,51.66,46.04,36.0,0.2,12.91,55.36,47.95
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,86.41,91.96,53.89,87.17,88.92,87.47,82.23,72.64,0.2,10.3,95.31,79.63
SBUX,Starbucks,Consumer Discretionary,Restaurants,98.03,112.7,77.4,97.07,96.36,95.95,91.82,87.51,0.0,2.45,100.43,91.47
STT,State Street Corporation,Financials,Asset Management & Custody Banks,127.84,136.29,73.77,128.82,128.55,129.83,129.91,114.62,0.0,5.37,134.71,124.96
STLD,Steel Dynamics,Materials,Steel,192.43,205.78,108.09,192.67,192.37,194.31,181.89,149.8,0.0,7.14,206.17,182.46
STE,Steris,Health Care,Health Care Equipment,252.27,267.97,206.99,250.49,249.68,250.84,254.96,245.87,-0.2,4.75,264.25,237.43
SYK,Stryker Corporation,Health Care,Health Care Equipment,387.4,401.61,335.05,384.71,378.9,370.78,362.53,373.46,0.1,0.84,390.65,350.92
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",32.28,60.71,28.27,32.0,31.49,31.59,30.95,41.66,-0.1,7.5,34.7,28.47
SYF,Synchrony Financial,Financials,Consumer Finance,68.83,88.11,43.03,71.05,71.74,72.61,77.88,72.0,-0.2,10.36,75.96,69.26
SNPS,Synopsys,Information Technology,Application Software,414.86,645.35,380.9,430.32,433.53,433.58,470.03,495.63,0.0,11.3,461.74,405.43
SYY,Sysco,Consumer Staples,Food Distributors,90.98,90.98,66.6,89.71,89.79,87.85,80.58,77.37,-0.2,1.97,92.77,82.93
